college_name,city,state,nirf_rank,nirf_score,category,careers,min_cutoff,fees_lpa,avg_package_lpa
Cambridge Institute of Technology,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Cambridge Institute of Technology,Ranchi,Jharkhand,,,Engineering,"Technology,Science",60,1.0,5.0
Canara Engineering College,Mangaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Cape Institute of Technology,Tirunelveli,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
CARE College of Engineering,Tiruchirappalli,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
"Central Institute of Plastic Engineering and Technology (CIPET), Bhubaneswar",Bhubaneswar,Odisha,,,Engineering,"Technology,Science",60,1.0,5.0
Central Institute of Plastics Engineering and Technology,Chennai,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Central Institute of Technology,Kokrajhar,Assam,,,Engineering,"Technology,Science",60,1.0,5.0
Central University of Haryana,Mahendergarh,Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
Central University of Jammu,Jammu,Jammu and Kashmir,,,Engineering,"Technology,Science",60,1.0,5.0
Central University of Rajasthan,Kishangarh,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
Centurion University of Technology and Management,Paralakhemundi,Odisha,,,Engineering,"Technology,Science",60,1.0,5.0
Ch. Devi Lal State Institute of Engineering,Sirsa,Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
Ch. Ranbir Singh State Institute of Engineering and Technology,Jhajjar,Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
Chadalawada Ramanamma Engineering College,Tirupati,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Chaitanya (Deemed to be University),Hanamkonda,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Proddatur,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Chalapathi Institute of Engineering and Technology,Guntur,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Chalapathi Institute of Technology,Guntur,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Chandigarh College of Engineering & Technology,Chandigarh,Chandigarh,,,Engineering,"Technology,Science",60,1.0,5.0
Chandigarh Engineering College Jhanjeri,Sahibzada Ajit Singh Nagar,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
"Chandigarh Engineering College-CGC, Landran, Mohali",Mohali,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
Chandigarh University,Mohali,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
Chandubhai S. Patel Institute of Technology,Changa,Gujarat,,,Engineering,"Technology,Science",60,1.0,5.0
Chatrapati Sahuji Maharaj Kanpur University,Kanpur,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Chaudhary Charan Singh University Meerut,MEERUT,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
CHEBROLU ENGINEERING COLLEGE,Chebrolu,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Chendhuran College of Engineering & Technology,Pudukkottai,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Chennai Institute of Technology,Chennai,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Chettinad College of Engineering & Technology,Karur,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Chhatrapati Shivaji Institute of Technology Kolihapuri,Durg,Chhattisgarh,,,Engineering,"Technology,Science",60,1.0,5.0
Chhotubhai Gopalbhai Patel Institute of Technology,Bardoli,Gujarat,,,Engineering,"Technology,Science",60,1.0,5.0
Chitkara University,Solan,Himachal Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Chitkara University,Rajpura,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
Chouksey Engineering College,Bilaspur,Chhattisgarh,,,Engineering,"Technology,Science",60,1.0,5.0
CHRIST COLLEGE OF ENGINEERING,Thrissur,Kerala,,,Engineering,"Technology,Science",60,1.0,5.0
Christ The King Engineering College,Coimbatore,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Christ University,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
"Christian College of Engineering and Technology, Oddanchatram, Palani",Dindigul,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
"City Engineering College, BANGALORE",Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
CMR College of Engineering & Technology,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
